,TEAM_NAME,YEAR,WIN_PCT,NBA_FINALS_APPEARANCE,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS
58,Hawks,2007,0.451,N/A,0.454,0.356,0.772,12.292682926829269,29.926829268292682,42.21951219512195,22.0,20.402439024390244,7.317073170731708,14.914634146341463,5.463414634146342,98.21951219512195
59,Hawks,2008,0.573,N/A,0.458,0.366,0.737,10.609756097560975,29.414634146341463,40.02439024390244,20.20731707317073,19.634146341463413,7.353658536585366,12.78048780487805,4.585365853658536,98.1219512195122
60,Hawks,2009,0.646,N/A,0.468,0.36,0.759,11.817073170731707,29.890243902439025,41.707317073170735,21.817073170731707,19.902439024390244,7.219512195121951,11.951219512195122,5.036585365853658,101.6829268292683
61,Hawks,2010,0.537,N/A,0.462,0.352,0.779,9.292682926829269,30.0,39.292682926829265,21.975609756097562,18.951219512195124,6.060975609756097,13.634146341463415,4.158536585365853,95.0
62,Hawks,2011,0.606,N/A,0.454,0.37,0.74,9.878787878787879,31.303030303030305,41.18181818181818,22.439393939393938,17.848484848484848,8.121212121212121,13.954545454545455,4.590909090909091,96.5909090909091
63,Hawks,2012,0.537,N/A,0.464,0.371,0.715,9.24390243902439,31.621951219512194,40.86585365853659,24.475609756097562,17.963414634146343,8.097560975609756,14.865853658536585,4.5,97.95121951219512
64,Hawks,2013,0.463,N/A,0.458,0.363,0.781,8.695121951219512,31.28048780487805,39.97560975609756,24.890243902439025,19.23170731707317,8.292682926829269,15.25609756097561,3.975609756097561,101.0
65,Hawks,2014,0.732,N/A,0.466,0.38,0.778,8.71951219512195,31.841463414634145,40.5609756097561,25.74390243902439,17.76829268292683,9.073170731707316,14.231707317073171,4.634146341463414,102.54878048780488
66,Hawks,2015,0.585,N/A,0.458,0.35,0.783,8.28048780487805,33.80487804878049,42.08536585365854,25.609756097560975,19.146341463414632,9.109756097560975,14.951219512195122,5.926829268292683,102.84146341463415
67,Hawks,2016,0.524,N/A,0.451,0.341,0.728,10.268292682926829,34.0609756097561,44.329268292682926,23.634146341463413,18.182926829268293,8.195121951219512,15.78048780487805,4.841463414634147,103.15853658536585
68,Hawks,2017,0.293,N/A,0.446,0.36,0.785,9.060975609756097,32.84146341463415,41.90243902439025,23.73170731707317,19.585365853658537,7.780487804878049,15.536585365853659,4.2439024390243905,103.35365853658537
69,Hawks,2018,0.354,N/A,0.451,0.352,0.752,11.646341463414634,34.451219512195124,46.09756097560975,25.829268292682926,23.5609756097561,8.231707317073171,17.036585365853657,5.109756097560975,113.34146341463415
